temperature,steps,posture,heart_rate,spo2,breathing_rate,timestamp,heart_rate_gen,heart_rate_source,spo2_gen,spo2_source,breathing_rate_gen,breathing_rate_source,gsr,gsr_gen,gsr_source,temperature_gen,temperature_source,dehydration_index,dehydration_index_gen,dehydration_index_source,posture_gen,posture_source,fall_detected,fall_detected_gen,fall_detected_source,steps_gen,steps_source
37.111111111111114,0,Resting,62.0,98.26372845970874,23.17,0,False,GP4,False,GP4,False,GP3,4.518837589673115,True,SIM,False,GP6,1.2014886562796694,True,SIM,False,GP4,False,True,SIM,False,GP2
37.64491204631485,0,Resting,62.144288577154306,98.25940500906057,23.17,1,False,GP4,False,GP4,False,GP3,4.4028303020039505,True,SIM,False,GP6,1.1058988939445618,True,SIM,False,GP4,False,True,SIM,False,GP2
36.91619906479626,0,Resting,62.28857715430862,98.2550815584124,23.17,2,False,GP4,False,GP4,False,GP3,4.470294940929284,True,SIM,False,GP6,1.164149436011431,True,SIM,False,GP4,False,True,SIM,False,GP2
37.356958361166775,0,Resting,62.432865731462925,98.25075810776423,19.36,3,False,GP4,False,GP4,False,GP3,4.480165535880535,True,SIM,False,GP6,1.132732519789228,True,SIM,False,GP4,False,True,SIM,False,GP2
36.82315742596303,0,Resting,62.57715430861723,98.24643465711605,19.36,4,False,GP4,False,GP4,False,GP3,4.414831158985669,True,SIM,False,GP6,1.1790816927376366,True,SIM,False,GP4,False,True,SIM,False,GP2
37.449999999999996,0,Resting,62.721442885771545,98.24211120646788,19.36,5,False,GP4,False,GP4,False,GP3,4.546590963415825,True,SIM,False,GP6,1.230397803285253,True,SIM,False,GP4,False,True,SIM,False,GP2
36.95830549988866,0,Resting,62.86573146292585,98.23778775581971,19.36,6,False,GP4,False,GP4,False,GP3,4.507329630697235,True,SIM,False,GP6,1.0626341858794044,True,SIM,False,GP4,False,True,SIM,False,GP2
37.449999999999996,0,Resting,63.010020040080164,98.23346430517154,19.36,7,False,GP4,False,GP4,False,GP3,4.633863466992434,True,SIM,False,GP6,1.178094858555939,True,SIM,False,GP4,False,True,SIM,False,GP2
37.246259185036735,0,Resting,63.15430861723447,98.22914085452337,19.36,8,False,GP4,False,GP4,False,GP3,4.776737475238173,True,SIM,False,GP6,1.2061623873372351,True,SIM,False,GP4,False,True,SIM,False,GP2
36.83198619461144,0,Resting,63.298597194388776,98.22481740387519,19.36,9,False,GP4,False,GP4,False,GP3,4.525562945272275,True,SIM,False,GP6,1.1300153886313187,True,SIM,False,GP4,False,True,SIM,False,GP2
37.40789356490759,0,Resting,63.44288577154309,98.22049395322702,19.36,10,False,GP4,False,GP4,False,GP3,4.3612673431916695,True,SIM,False,GP6,1.1745383861057768,True,SIM,False,GP4,False,True,SIM,False,GP2
37.449999999999996,0,Resting,63.587174348697395,98.21617050257885,19.36,11,False,GP4,False,GP4,False,GP3,4.482698815551451,True,SIM,False,GP6,1.1677930783927453,True,SIM,False,GP4,False,True,SIM,False,GP2
