Timestamp,humidity,temperature
2026-04-16T10:16:01.108000,0,98.8
2026-04-16T10:16:00.106000,0,98.19
2026-04-16T10:15:59.119000,0,100.02
2026-04-16T10:15:58.111000,0,98.8
2026-04-16T10:15:57.092000,0,98.19
2026-04-16T10:15:56.106000,0,98.8
2026-04-16T10:15:55.114000,0,100.02
2026-04-16T10:15:54.107000,0,98.8
2026-04-16T10:15:53.105000,0,98.8
2026-04-16T10:15:52.086000,0,98.19
2026-04-16T10:15:51.109000,0,99.41
2026-04-16T10:15:50.096000,0,99.41
2026-04-16T10:15:49.106000,0,99.41
2026-04-16T10:15:48.085000,0,98.19
2026-04-16T10:15:47.105000,0,99.41
2026-04-16T10:15:46.090000,0,99.41
2026-04-16T10:15:45.105000,0,99.41
2026-04-16T10:15:44.102000,0,98.19
2026-04-16T10:15:43.100000,0,99.41
2026-04-16T10:15:42.081000,0,99.41
2026-04-16T10:15:41.089000,0,98.19
2026-04-16T10:15:40.538000,0,99.41
2026-04-16T10:15:39.095000,0,99.41
2026-04-16T10:15:38.089000,0,98.8
2026-04-16T10:15:37.094000,0,99.41
2026-04-16T10:15:36.089000,0,99.41
2026-04-16T10:15:35.095000,0,99.41
2026-04-16T10:15:34.073000,0,98.8
2026-04-16T10:15:33.134000,0,98.8
2026-04-16T10:15:32.085000,0,99.41
2026-04-16T10:15:31.091000,0,99.41
2026-04-16T10:15:30.081000,0,99.41
2026-04-16T10:15:29.096000,0,98.8
2026-04-16T10:15:28.069000,0,99.41
2026-04-16T10:15:27.089000,0,99.41
2026-04-16T10:15:26.072000,0,98.8
2026-04-16T10:15:25.065000,0,100.02
2026-04-16T10:15:24.080000,0,100.02
2026-04-16T10:15:23.065000,0,98.8
2026-04-16T10:15:22.075000,0,99.41
2026-04-16T10:15:21.073000,0,98.8
2026-04-16T10:15:20.079000,0,99.41
2026-04-16T10:15:19.073000,0,100.02
2026-04-16T10:15:18.072000,0,99.41
2026-04-16T10:15:17.065000,0,100.02
2026-04-16T10:15:16.054000,0,100.63
2026-04-16T10:15:15.338000,0,98.8
2026-04-16T10:15:09.515000,0,98.8
2026-04-16T10:15:08.333000,0,99.41
2026-04-16T10:15:06.319000,0,99.41
2026-04-16T10:15:02.836000,0,99.41
2026-04-16T10:15:01.656000,0,98.8
2026-04-16T10:15:00.631000,0,99.41
2026-04-16T10:14:49.533000,0,99.41
2026-04-16T10:14:48.541000,0,99.41
2026-04-16T10:14:47.532000,0,97.59
2026-04-16T10:14:46.532000,0,98.8
2026-04-16T10:14:45.542000,0,99.41
2026-04-16T10:14:44.532000,0,100.02
2026-04-16T10:14:43.525000,0,99.41
2026-04-16T10:14:42.530000,0,100.02
2026-04-16T10:14:41.533000,0,99.41
2026-04-16T10:14:40.525000,0,98.8
2026-04-16T10:14:39.534000,0,99.41
2026-04-16T10:14:38.531000,0,99.41
2026-04-16T10:14:37.518000,0,99.41
2026-04-16T10:14:36.537000,0,100.02
2026-04-16T10:14:35.517000,0,98.8
2026-04-16T10:14:34.536000,0,100.02
2026-04-16T10:14:33.525000,0,99.41
2026-04-16T10:14:32.533000,0,98.8
2026-04-16T10:14:31.514000,0,98.8
2026-04-16T10:14:30.525000,0,98.19
